Target Name,latitude,longitude,count_GT200_soundings,count_all,SAM_success_rate
fossil_Hamburg_Germany,53.55375000000004,9.99183000000005,0.0,0.0,0.0
fossil_Pune_India,18.50422000000003,73.85302000000007,20.0,46.0,0.43478260869565216
fossil_Al_Ain_UAE,24.20739000000003,55.68635000000006,32.0,34.0,0.9411764705882353
fossil_Mecca_Saudi_Arabia,21.42111000000006,39.82222000000007,49.0,61.0,0.8032786885245902
fossil_Vancouver_Canada,49.26038000000005,-123.1133599999999,140.0,381.0,0.3674540682414698
fossil_Datong_Shanxi_China,40.09361000000007,113.2913900000001,13.0,21.0,0.6190476190476191
fossil_Xiamen_China,24.54404000000005,118.12774,7.0,15.0,0.4666666666666667
fossil_Ningbo_China,29.86569000000003,121.53916,5.0,10.0,0.5
fossil_Taichung_Taiwan,24.16324000000003,120.6482100000001,25.0,48.0,0.5208333333333334
fossil_Rio_de_Janeiro_Brazil,-22.91215999999997,-43.17500999999993,96.0,166.0,0.5783132530120482
fossil_St_Petersburg_USA,27.77119000000005,-82.63875999999993,23.0,43.0,0.5348837209302325
fossil_Monterrey_Mexico,25.67093000000006,-100.30999,97.0,125.0,0.776
fossil_Hanoi_Vietnam,21.02888000000007,105.8546400000001,37.0,132.0,0.2803030303030303
fossil_Rome_Italy,41.90322000000003,12.49565000000007,140.0,209.0,0.6698564593301436
fossil_New_Orleans_USA,29.95370000000003,-90.07774999999998,9.0,18.0,0.5
fossil_Al_Hofuf_Saudi_Arabia,25.36824000000007,49.58751000000007,35.0,39.0,0.8974358974358975
fossil_Chios_Turkey,40.19208000000003,29.04675000000003,60.0,80.0,0.75
fossil_Naples_Italy,40.84014000000008,14.25226000000004,52.0,86.0,0.6046511627906976
fossil_Guadalajara_Mexico,20.68758000000003,-103.35104,85.0,116.0,0.7327586206896551
fossil_Kaoshsiung_Taiwan,22.62014000000005,120.31226,22.0,45.0,0.4888888888888889
fossil_Dhaka_Bangladesh,23.71323000000007,90.39957000000004,29.0,82.0,0.35365853658536583
fossil_Calgary_Canada,51.04532000000006,-114.06301,148.0,272.0,0.5441176470588235
fossil_Pittsburgh_USA,40.43851000000006,-79.99733999999995,16.0,41.0,0.3902439024390244
fossil_Austin_USA,30.26759000000004,-97.74298999999996,1.0,1.0,1.0
fossil_Amman_Jordan,31.95180000000005,35.94042000000007,52.0,60.0,0.8666666666666667
fossil_Salt_Lake_City_USA,40.76031000000006,-111.88822,55.0,78.0,0.7051282051282052
fossil_Medina_Saudi_Arabia,24.46728000000007,39.60641000000004,107.0,126.0,0.8492063492063492
fossil_Adelaide_Australia,-34.92584999999997,138.5998000000001,93.0,158.0,0.5886075949367089
fossil_Warsaw_Poland,52.23560000000003,21.01037000000002,1.0,2.0,0.5
fossil_Omsk_Russia,54.99471000000005,73.36476000000005,0.0,0.0,0.0
fossil_Astana_Kazakhstan,51.12771000000004,71.42830000000004,140.0,241.0,0.5809128630705395
fossil_Maebashi_Japan,36.38949739100008,139.0634184300001,5.0,11.0,0.45454545454545453
fossil_Tabriz_Iran,38.08000000000004,46.29190000000006,103.0,134.0,0.7686567164179104
fossil_Ahmadabad_India,23.02777000000003,72.60025000000007,63.0,93.0,0.6774193548387096
fossil_Sohag_Egypt,26.55513000000008,31.69545000000005,113.0,115.0,0.9826086956521739
fossil_Munich_Germany,48.13641000000007,11.57754000000006,83.0,190.0,0.4368421052631579
fossil_Ahvaz_Iran,31.32030000000003,48.66930000000008,46.0,64.0,0.71875
fossil_Baabda_Lebanon,34.51451000000003,35.96785000000006,59.0,72.0,0.8194444444444444
fossil_Rostov-on-Don_Russia,47.22691000000003,39.71676000000008,166.0,321.0,0.5171339563862928
fossil_Prague_Czech_Republic,50.07913000000008,14.43302000000006,40.0,97.0,0.41237113402061853
fossil_San_Cristobal_Dominican_Republic,18.41667000000007,-70.09999999999997,108.0,161.0,0.6708074534161491
fossil_Amsterdam_Netherlands,52.36993000000007,4.907880000000034,0.0,0.0,0.0
